Date,City,AQI,PM2.5,PM10,Ozone,NO2,CO,SO2,Temperature,Humidity
2023-02-02,Columbus,134,29.36,67.13,71.88,39.46,2.01,11.65,21.2,61.8
2023-12-05,Los Angeles,116,28.83,68.26,56.06,51.06,2.018,24.7,11.9,92.9
2024-06-10,Houston,113,29.83,68.92,69.95,49.74,2.092,16.29,16.6,57.6
2023-10-13,Austin,86,21.82,48.99,34.29,35.94,1.39,9.54,-5.6,93.9
2024-05-12,Houston,146,33.9,76.5,99.12,51.26,3.208,19.6,35.3,31.8
2024-07-06,Chicago,114,27.54,60.19,79.3,46.55,2.139,18.08,7.9,76.5
2024-08-07,San Jose,107,24.42,46.51,56.1,30.29,1.698,14.76,2.3,95.7
2024-04-29,Houston,147,34.7,78.28,95.66,44.68,2.536,20.17,31.9,38.6
2024-04-29,Fort Worth,148,33.82,79.51,105.02,45.55,2.139,18.38,39.1,34.3
2024-02-21,Houston,171,37.28,82.74,80.58,47.29,2.756,22.23,27.7,56.5
2023-04-07,Los Angeles,139,33.16,78.66,98.28,46.98,2.35,22.26,33.9,40.8
2024-11-05,San Antonio,96,21.96,44.31,60.11,39.75,2.093,15.62,10.0,73.9
2023-12-29,San Antonio,115,24.24,43.09,63.35,44.25,2.561,19.45,12.0,73.0
2024-02-25,San Diego,88,20.37,50.32,67.74,37.0,1.838,16.21,26.0,23.4
2023-10-15,San Jose,90,21.72,48.85,41.92,38.86,1.11,13.2,-7.5,97.8
2023-02-25,Austin,114,28.14,56.24,67.55,38.63,2.15,18.71,21.2,50.6
2024-10-31,Austin,82,20.26,32.2,58.17,33.56,2.071,11.44,17.8,66.0
2023-04-11,New York,114,29.56,68.81,84.2,42.21,1.703,14.55,30.8,45.4
2024-02-17,Jacksonville,110,28.14,55.65,60.06,38.66,1.596,16.39,22.8,36.0
2023-12-14,Fort Worth,102,26.69,53.5,54.21,36.97,2.229,9.43,11.1,53.9
2023-04-22,Houston,141,36.85,64.53,77.44,47.67,2.474,22.35,26.8,53.0
2023-07-16,Houston,132,30.41,63.28,,,2.66,19.96,15.3,45.1
2024-07-03,San Diego,75,19.33,38.23,48.51,36.33,1.909,9.59,16.7,65.5
2023-05-24,San Antonio,130,29.54,70.92,59.96,49.78,1.389,26.23,20.4,44.1
2023-07-07,Phoenix,116,26.94,54.56,,52.54,2.551,21.36,10.3,75.0
2024-04-18,Houston,138,36.57,76.76,79.49,46.06,3.014,22.15,28.4,49.2
2023-03-19,San Diego,95,21.28,43.17,59.66,29.05,0.813,13.76,23.2,36.5
2024-07-17,Los Angeles,140,33.46,75.75,56.13,50.04,2.569,17.45,11.6,73.7
2023-02-21,Austin,107,18.6,47.58,75.22,34.25,1.965,14.22,35.3,34.0
2024-07-07,Columbus,89,21.08,42.3,55.59,41.52,1.734,16.84,16.4,62.9
2023-01-16,Los Angeles,129,32.51,64.84,75.55,39.14,3.045,8.51,18.3,37.1
2023-08-31,Chicago,110,25.55,53.08,39.69,49.3,,15.31,-3.8,93.5
2024-02-21,San Diego,88,20.4,45.65,69.24,35.21,1.601,8.95,23.0,42.1
2024-05-07,Houston,151,32.67,69.89,75.64,50.01,2.751,22.78,24.4,35.8
2024-02-15,Charlotte,123,26.4,58.73,76.56,43.89,2.103,15.71,23.1,40.5
2023-03-02,Chicago,118,30.22,69.91,71.28,47.52,1.586,13.54,21.7,52.1
2024-01-24,New York,109,29.14,61.38,58.23,40.17,2.144,16.14,19.2,37.3
2024-02-04,Phoenix,144,33.81,70.6,88.88,51.84,2.13,21.7,28.4,41.3
2024-04-10,Phoenix,131,29.93,73.16,75.24,56.26,2.246,19.55,17.9,41.8
2024-03-09,Jacksonville,95,20.33,53.43,73.55,41.17,2.152,22.93,31.4,29.5
2024-07-23,Austin,122,26.89,46.84,46.82,42.04,1.639,13.88,,62.4
2024-05-13,Chicago,139,32.09,65.71,109.63,50.08,2.001,20.34,35.4,52.2
2023-07-14,Phoenix,105,26.44,60.04,62.33,43.61,2.676,22.25,14.1,59.2
2023-08-11,New York,131,26.66,66.93,59.47,43.6,2.013,17.08,4.1,67.9
2024-08-16,Jacksonville,109,23.98,43.91,54.65,33.72,1.868,15.15,-2.1,61.0
2024-07-09,New York,114,22.03,53.66,53.53,41.19,1.892,11.87,,55.2
2023-11-18,New York,105,27.98,56.38,66.72,40.87,2.237,15.54,8.8,88.0
2023-02-21,San Jose,117,30.49,67.21,60.51,41.14,1.927,14.45,27.8,49.3
2024-05-03,Dallas,119,29.69,70.07,96.31,39.95,2.079,20.53,31.0,29.6
2024-06-27,Chicago,98,26.21,52.46,60.55,51.14,2.309,21.92,16.1,37.8
2023-02-28,Dallas,119,29.71,61.58,86.92,37.97,2.401,17.38,25.4,26.3
2023-03-24,Columbus,117,27.32,66.77,73.8,37.67,1.245,22.51,24.3,27.3
2023-07-10,Los Angeles,128,27.31,56.89,79.37,48.43,2.75,21.07,16.5,59.6
2024-09-01,Los Angeles,132,32.77,68.52,64.83,56.71,2.448,18.61,5.4,68.1
2024-11-22,Columbus,63,14.83,23.14,52.26,39.33,2.14,10.31,4.7,82.2
2023-08-29,San Antonio,82,22.28,47.43,54.33,35.27,2.249,15.53,5.9,64.9
2023-05-03,Charlotte,122,30.91,58.68,96.02,41.28,1.573,11.9,23.8,45.3
2024-08-06,Houston,101,29.78,64.82,64.53,41.43,3.185,14.04,14.4,83.5
2024-08-15,San Jose,67,14.67,28.07,54.26,47.68,,17.45,3.0,92.5
2023-02-10,San Jose,85,20.38,34.76,,36.59,1.314,19.74,21.2,
2023-03-25,San Antonio,,28.83,70.79,89.26,43.98,1.735,10.38,29.2,42.1
2024-11-04,San Jose,74,15.2,40.34,58.92,40.54,2.058,11.76,3.6,78.8
2024-08-01,Dallas,127,29.18,53.77,67.37,46.96,2.489,19.91,5.4,74.7
2023-11-20,Charlotte,63,20.09,35.86,38.94,40.86,2.113,17.65,12.6,75.1
2023-09-25,Houston,109,23.95,48.37,55.11,49.43,2.775,23.83,-5.2,91.7
2024-11-16,Jacksonville,101,22.83,55.47,59.91,45.33,,14.1,2.2,80.6
2023-11-18,Houston,116,26.66,60.93,,44.05,2.91,22.05,3.5,65.6
2023-09-29,San Antonio,107,23.93,54.08,50.72,38.81,1.429,23.17,0.8,74.4
2023-05-15,Austin,110,27.72,69.42,63.69,31.95,2.018,17.77,23.6,24.6
2024-10-22,Phoenix,129,28.43,57.95,53.46,41.06,2.456,17.64,-1.7,91.9
2024-04-13,Philadelphia,124,30.69,68.35,93.96,45.33,2.315,12.2,26.6,44.4
2023-03-16,New York,102,24.66,51.71,52.59,41.49,2.295,17.2,,42.6
2024-04-14,San Jose,105,24.53,,80.79,32.06,1.647,13.12,30.8,30.4
2024-07-30,Los Angeles,112,25.49,49.4,61.81,52.7,2.515,22.37,3.3,78.6
2023-03-17,Dallas,131,34.14,67.54,75.28,48.62,2.793,15.6,28.8,28.5
2023-08-07,Dallas,140,28.47,56.57,56.28,38.61,2.327,15.98,3.7,82.6
2023-09-29,Chicago,77,19.0,43.61,49.68,45.36,,12.85,0.6,95.7
2023-12-24,Charlotte,74,15.67,37.76,56.3,46.3,2.347,13.21,13.8,69.5
2023-03-12,Charlotte,141,31.71,65.07,106.61,46.07,2.118,19.47,38.0,22.6
2023-09-08,Philadelphia,84,22.9,46.78,64.43,42.39,2.569,12.58,-0.4,69.7
2023-10-19,Chicago,89,22.96,35.45,51.24,45.51,2.938,13.4,3.6,95.0
2024-03-24,Columbus,133,25.86,65.13,95.25,37.55,2.107,,35.3,33.6
2024-07-10,Jacksonville,111,27.42,64.44,81.14,37.33,1.487,9.17,15.9,52.0
2023-11-06,San Jose,109,26.14,55.56,45.49,37.11,1.541,9.54,-6.5,86.5
2024-10-31,Dallas,75,22.6,54.29,53.22,48.1,2.786,12.82,2.1,78.2
2023-01-09,Austin,111,26.38,53.09,56.14,45.13,1.884,13.71,12.9,66.4
2024-07-21,Phoenix,132,31.67,70.99,71.88,51.48,2.069,10.99,4.8,75.5
2024-11-04,Columbus,77,18.77,42.83,51.74,42.77,2.578,16.21,4.6,77.1
2024-11-10,Los Angeles,124,27.72,46.54,58.88,58.47,3.07,16.11,1.9,83.0
2023-05-18,Phoenix,146,36.38,72.59,84.24,46.91,2.336,21.71,25.5,44.4
2023-04-29,Charlotte,129,30.33,65.85,90.64,33.3,1.75,13.32,36.2,15.6
2023-04-20,Jacksonville,127,26.58,56.44,88.83,41.17,2.051,14.23,36.0,44.1
2024-07-20,Chicago,113,29.03,61.7,,46.15,2.514,14.76,10.0,61.1
2023-10-06,Phoenix,108,24.45,55.77,72.59,52.62,2.349,20.09,-0.7,92.7
2024-09-11,Houston,63,18.44,38.86,65.97,49.43,2.691,21.26,7.5,57.5
2023-12-18,Houston,121,27.96,59.26,70.82,52.61,2.058,20.39,5.9,56.5
2024-12-04,Austin,94,28.65,64.37,48.91,38.5,2.343,10.21,1.4,77.3
2023-09-28,Dallas,112,24.4,60.47,57.89,39.61,2.154,8.62,2.8,88.3
2024-05-15,Phoenix,,27.02,61.87,51.55,39.12,,15.13,21.7,26.1
2023-02-22,Los Angeles,159,38.95,85.5,89.8,49.57,2.185,12.72,30.5,35.7
2024-10-11,San Antonio,103,22.41,47.23,53.03,36.97,2.26,14.66,-4.3,94.3
2023-10-11,New York,107,27.41,59.04,40.07,48.76,1.926,14.16,9.0,86.3
2023-01-04,Philadelphia,116,26.81,64.02,65.03,48.48,2.362,12.52,15.8,52.8
2023-05-14,Austin,102,25.85,55.97,73.93,35.92,1.892,14.46,22.8,36.5
2023-09-26,Chicago,121,26.03,47.83,62.21,47.13,2.679,18.11,1.9,78.0
2024-03-28,Dallas,146,36.68,80.96,78.52,43.41,1.671,19.28,28.3,29.7
2024-12-23,San Antonio,111,25.38,59.41,60.46,,1.973,15.47,11.8,60.3
2024-07-28,New York,86,18.16,45.69,54.88,44.63,2.302,17.94,13.6,74.1
2023-04-25,Los Angeles,167,38.9,82.37,111.18,47.21,3.135,19.57,36.5,47.1
2024-12-08,Charlotte,82,20.23,47.16,53.22,37.74,1.806,12.5,12.2,79.7
2023-06-02,Dallas,133,31.1,69.71,51.29,49.02,2.225,17.55,17.6,64.5
2023-02-06,Columbus,132,27.9,56.49,66.42,46.04,1.626,17.57,25.7,43.4
2024-01-14,San Jose,110,27.19,61.45,56.6,42.01,1.803,8.36,21.4,61.8
2024-07-19,Chicago,,27.02,56.0,61.04,48.28,2.1,11.66,,73.2
2024-03-16,Chicago,145,30.51,67.64,108.05,42.04,2.043,17.99,33.1,25.7
2023-02-12,Phoenix,157,33.26,81.59,75.92,47.25,2.487,,25.8,53.3
2024-01-09,Charlotte,141,31.11,59.94,55.82,38.14,1.926,14.98,10.0,
2023-02-10,Charlotte,114,24.86,49.0,71.54,45.26,1.076,7.92,22.5,48.7
2024-01-02,Houston,161,39.45,83.06,51.19,57.55,2.239,15.96,13.4,58.0
2024-11-29,Houston,132,29.44,68.14,44.63,39.91,2.933,17.45,1.5,79.0
2024-11-13,Los Angeles,105,25.49,53.47,49.62,51.34,3.133,14.56,10.6,69.9
2023-12-29,Fort Worth,97,28.66,59.31,74.51,44.64,2.469,15.19,21.2,57.2
2024-07-27,Charlotte,70,22.3,51.15,71.13,37.38,2.041,14.93,18.9,60.2
2024-02-21,San Jose,123,25.65,65.78,91.52,39.51,,14.97,27.9,34.0
2023-06-08,Charlotte,129,28.13,60.91,51.49,46.36,1.974,16.76,16.0,54.4
2023-08-31,Columbus,99,25.72,52.18,35.36,34.36,2.038,8.84,2.4,79.2
2023-06-16,Fort Worth,109,26.71,56.42,55.26,40.91,1.524,14.04,9.3,56.6
2023-07-01,Charlotte,93,20.47,47.74,57.16,35.16,2.195,11.52,20.9,56.6
2024-02-27,New York,125,27.81,61.84,104.25,41.39,3.081,25.61,34.7,31.4
2023-07-03,Jacksonville,102,24.24,44.76,49.52,38.15,2.257,11.25,17.0,57.2
2023-12-07,Fort Worth,108,27.62,52.26,58.01,45.13,2.012,21.51,8.1,77.5
2024-02-26,Fort Worth,96,22.49,53.27,78.81,41.56,2.05,13.29,28.4,26.8
2024-11-16,Columbus,79,17.97,40.2,61.98,44.13,1.973,12.86,6.6,90.5
2023-09-12,Phoenix,111,22.25,48.96,54.33,45.91,2.84,12.62,-3.2,
2023-06-13,Fort Worth,126,28.17,68.24,70.38,39.55,2.575,11.37,25.7,34.9
2024-12-19,Los Angeles,134,33.57,74.77,63.71,54.39,2.531,15.13,10.5,61.3
2024-01-27,Columbus,119,27.42,67.27,66.55,37.01,2.089,24.14,16.4,50.4
2023-02-09,Columbus,92,,45.66,70.28,35.87,2.184,12.68,26.7,38.1
2024-04-26,Houston,148,33.93,76.24,97.04,40.67,2.628,17.65,30.9,40.6
2023-07-24,Columbus,103,22.5,50.46,42.69,37.17,2.309,17.05,12.9,62.0
2024-04-16,Philadelphia,125,30.82,65.96,99.61,50.69,1.702,22.38,33.7,29.8
2023-11-09,Columbus,74,17.35,34.28,57.56,48.35,2.12,19.55,2.8,77.4
2023-08-22,Houston,118,29.22,65.72,62.07,49.94,2.625,20.34,3.4,94.0
2023-01-25,Austin,84,21.34,45.56,60.74,45.87,,13.39,25.2,47.7
2023-07-17,San Antonio,104,26.41,53.44,50.79,39.52,2.155,18.23,5.8,64.8
2023-12-03,Phoenix,101,24.69,54.0,68.17,51.88,2.054,20.18,5.9,81.1
2023-03-13,Fort Worth,135,25.93,74.55,90.9,36.12,1.801,12.31,29.1,14.3
2023-10-13,Philadelphia,90,17.9,46.39,55.09,43.74,2.141,13.68,1.2,78.6
2024-10-30,Charlotte,113,23.31,43.49,59.68,38.77,2.218,13.54,,84.0
2024-10-18,Dallas,109,27.86,54.41,66.64,44.09,2.223,13.04,13.0,62.4
2024-02-14,Austin,109,25.68,59.36,57.72,36.26,2.099,10.62,13.5,60.2
2024-07-03,Philadelphia,100,27.28,65.5,59.97,41.58,1.828,14.45,22.0,54.4
2023-01-29,Los Angeles,159,35.39,76.24,82.73,47.41,3.088,21.9,18.1,53.6
2023-09-25,Chicago,95,18.42,42.4,50.33,46.18,2.322,15.33,-5.1,94.0
2024-08-17,Phoenix,97,21.54,51.15,62.32,50.32,2.704,14.77,7.4,86.4
2023-02-09,Los Angeles,136,32.53,79.21,99.6,47.8,2.632,20.02,31.0,29.9
2024-09-02,San Antonio,102,23.22,51.47,45.64,42.81,2.137,6.45,-2.6,85.5
2023-12-20,Jacksonville,115,24.99,59.12,56.38,38.51,1.395,21.93,7.4,71.6
2023-11-18,San Antonio,113,27.9,56.52,51.27,35.96,2.788,13.47,1.7,79.3
2024-09-12,Dallas,104,25.22,50.91,49.81,52.13,2.42,20.13,-4.8,77.7
2023-04-29,San Antonio,100,28.73,66.31,60.45,46.73,2.249,10.9,21.8,40.6
2024-08-13,Houston,83,22.11,40.53,55.58,49.52,2.578,16.03,8.7,75.5
2023-09-18,New York,117,23.94,59.3,65.72,39.13,2.276,13.03,4.0,91.4
2024-12-26,San Antonio,122,27.44,59.0,55.17,30.7,2.285,16.43,11.3,67.4
2023-01-02,Dallas,131,30.47,69.24,53.99,48.46,2.303,12.81,14.3,46.2
2024-07-05,Austin,79,18.05,31.76,56.21,42.83,1.39,15.04,16.0,55.6
2024-11-17,Houston,103,24.3,52.37,66.32,51.2,2.552,25.53,-6.5,76.4
2024-01-08,San Antonio,105,25.11,52.86,47.24,48.43,2.385,14.75,17.5,61.6
